name,phone,email
<h1>Royal Realty Inc</h1>,(212) 766-0825,
<h1>C M &amp; F Group</h1>,(212) 233-8911,RSullivan@cmfgroup.com
<h1>The Valley Discount Properties</h1>,(929) 224-3829,
<h1>Lavemoure New York Inc</h1>,(212) 528-2000,
<h1>Ddg Warren Co 12 Warren St</h1>,(212) 766-0012,
<h1>130 William St Holding Co</h1>,(212) 233-7857,
<h1>Kuomintang New York Office</h1>,(212) 227-8905,
<h1>Newyork Funding</h1>,(212) 925-7739,
<h1>Mra Realties</h1>,(212) 226-8258,
<h1>Loft Properties Ltd</h1>,(646) 484-6492,
<h1>222 West Bway</h1>,(212) 226-9133,
<h1>Douglas Elliman</h1>,(212) 625-6801,
<h1>Lily Realty</h1>,(212) 219-0971,
<h1>58 Walker Street Condo</h1>,(212) 226-6257,
<h1>Abc Realty</h1>,(212) 334-2151,
<h1>27 Cliff Street Realty</h1>,(212) 285-2700,
<h1>Harrison Residence</h1>,(212) 966-6892,
<h1>Tungdot Inc</h1>,(212) 966-0515,
<h1>State of New York</h1>,(212) 962-2300,
<h1>E Lipkus Co</h1>,(212) 925-4023,
<h1>Shushana Co</h1>,(212) 925-4023,
<h1>Hhq Acquisitions</h1>,(212) 232-0387,
<h1>8 Beach Realty</h1>,(212) 966-3419,
<h1>Stribling &amp; Associates</h1>,(646) 613-2600,ealvarez@stribling.com
<h1>Kingfook Realty Corp</h1>,(212) 431-3860,
<h1>Morris Bailey Management Co</h1>,(212) 566-4612,levy@blueswitch.com
<h1>Us Time Base Ntp Ppp Access</h1>,(212) 453-4856,
<h1>14 Maiden Lane Associates</h1>,(212) 785-0484,
<h1>Acacia Financial Group</h1>,(212) 432-4021,
<h1>Libery Place Commons</h1>,(212) 962-3411,
<h1>180 Franklin Lofts Ltd</h1>,(212) 966-1975,
<h1>Independence Plaza Associates</h1>,(646) 717-6454,info@eckerwindow.com
<h1>170 Henry Street Realty Corp</h1>,(212) 571-0424,
<h1>Fortress Baobob</h1>,(212) 334-8004,
<h1>Milstein Properties</h1>,(212) 945-4792,
<h1>Michael Salove Company</h1>,(212) 227-0227,
<h1>Zerlina Properties Corp</h1>,(212) 925-2417,
<h1>King Fook Realty</h1>,(212) 941-9986,
<h1>Maray Co</h1>,(212) 226-4229,
<h1>Chodosh Realty Inc</h1>,(212) 966-8500,
<h1>Reliance Realty of Manhattan</h1>,(212) 966-2788,jose@rrnow.info
<h1>A O Realty</h1>,(212) 349-8080,chi_shiu@hotmail.com
<h1>The Benchmark Co</h1>,(212) 312-6700,media@benchmarkcompany.com
<h1>Asiam Group Inc</h1>,(212) 925-3988,
"<h1>GFI Management Services, Inc</h1>",(212) 668-1444,
<h1>Broad Street Capital</h1>,(212) 490-4323,info@broadstreetcap.com
<h1>100 John Mazal</h1>,(212) 706-8316,
<h1>G V A Williams Real Estate</h1>,(212) 858-7651,dkkoga@panix.com
<h1>Avant-Garde Realty Group Inc</h1>,(212) 766-1111,
<h1>Pep Real Estate</h1>,(212) 925-3280,office@peprealestate.com
<h1>Berger Lower East End Realty</h1>,(212) 274-8383,
<h1>7 Wu Real Estate Ltd</h1>,(212) 226-4512,
<h1>Lichin Co</h1>,(212) 349-8080,
<h1>Mazal Group</h1>,(212) 964-3060,
<h1>Lis-Op</h1>,(212) 343-0884,
<h1>Leichestershire Arms Ltd</h1>,(212) 274-8761,andy@zoogy.com
<h1>Lighthouse Capital Partners</h1>,(212) 858-7595,info@seachangecap.org
<h1>Ktr Capital Partners</h1>,(646) 233-4890,info@seachangecap.org
<h1>90 William St</h1>,(212) 269-0323,
<h1>Jordan Gurland Enterprises</h1>,(212) 226-4958,
<h1>Colliers International</h1>,(212) 858-7651,
<h1>Transworld Realty Co</h1>,(212) 406-0686,info@BroadwayRealty.com
<h1>Hing Wong Realty Inc</h1>,(212) 625-2627,
<h1>Wing Tat Realty</h1>,(212) 966-2305,
<h1>Nmg Corp</h1>,(212) 226-8400,
<h1>E K R Realty Co Inc</h1>,(212) 925-2498,
<h1>Vornado</h1>,(646) 767-0339,
<h1>123 Lafayette</h1>,(212) 226-8679,
<h1>Sag Development Partners</h1>,(212) 775-0015,
<h1>Ldlsatc Realty Corp</h1>,(212) 619-0797,
<h1>Cushman &amp; Wakefield Inc Buildings</h1>,(212) 267-1197,
<h1>P S Realty</h1>,(212) 367-0908,
<h1>The Durst Organization</h1>,(212) 227-6959,
<h1>Broad-Wall Co</h1>,(212) 943-4080,
<h1>Yarrow Inc</h1>,(646) 214-0401,
<h1>Kwan Wah &amp; Son Realty Corp</h1>,(212) 219-0944,
<h1>Forty Two Bway Bldg</h1>,(212) 943-4080,
<h1>Won &amp; Har Realty</h1>,(212) 791-7923,
<h1>AgentVet</h1>,(413) 842-6866,
<h1>5 Crosby Inc</h1>,(212) 219-3291,
<h1>17 John St Associates</h1>,(212) 706-2388,
<h1>49 Ocean Inc</h1>,(212) 226-1777,support@plantpeople.co
<h1>Jsm Properties</h1>,(646) 613-1564,
<h1>Irving Raber Co Inc</h1>,(212) 925-1950,
<h1>Zin Design</h1>,(617) 797-5606,
<h1>Cushman &amp; Wakefield</h1>,(212) 233-4248,
<h1>Elika Real Estate</h1>,(212) 590-0540,info@luxurymanhattanproperty.com
<h1>New Shengyi Services Inc</h1>,(212) 226-8834,
<h1>Boquen Realty Inc</h1>,(212) 267-7895,
<h1>Anne Scarano</h1>,(212) 431-4678,
<h1>Risk Metrics Group</h1>,(212) 981-7500,
<h1>Multi Capital Group 1</h1>,(212) 742-9300,
<h1>Tt &amp; Pp Real Estate</h1>,(212) 226-8960,
<h1>Kee Yit Realty</h1>,(212) 267-2742,
<h1>460 Park Associates</h1>,(212) 221-8300,jjpassoc@aol.com
<h1>Mas Management</h1>,(212) 629-0555,
<h1>Milstein Properties Club 39</h1>,(212) 945-4200,
<h1>Tongs Realty Corp</h1>,(212) 226-8150,
<h1>Dadourian Management</h1>,(212) 941-1483,
<h1>Baldwin Realty Co Inc</h1>,(212) 349-0015,
<h1>Davis Tong Inc</h1>,(212) 290-8686,jdpromo33@aol.com
<h1>Grenadier Realty Corp</h1>,(212) 759-8660,
<h1>High Gate Properties</h1>,(212) 602-9972,
<h1>River Terrace Associates</h1>,(212) 945-2906,
<h1>East Egg Realty</h1>,(917) 284-6353,
<h1>Man Yun Real Estate Corp</h1>,(212) 941-0584,
<h1>Dallien Realty</h1>,(212) 257-2127,
<h1>Mountbrook Usa</h1>,(212) 334-3034,
<h1>Kee Yip Realty Corp</h1>,(212) 925-5629,
<h1>Ync Realty Corporation</h1>,(212) 219-8882,
<h1>Rockrose Leasing</h1>,(212) 430-5772,
<h1>Brennan Max</h1>,(212) 226-0169,
<h1>Riverhouse One Rockefeller Park</h1>,(212) 204-8560,
<h1>City Square Group</h1>,(212) 742-2739,
<h1>Newmark &amp; Co Real Estate</h1>,(212) 587-8950,anna@penmarkrealty.com
<h1>Pel-Rai Realty Inc</h1>,(212) 219-1420,
<h1>Resnick Seaport</h1>,(212) 652-0047,
<h1>Bms Realty Assoc Inc</h1>,(212) 809-2371,
<h1>Jjs Real Estate of Ny</h1>,(212) 219-2742,
<h1>Westbury Realty</h1>,(212) 566-5511,
<h1>Westbury Realty Inc</h1>,(212) 566-5511,
<h1>Delma Properties</h1>,(212) 355-4335,sales@delma-gz.com
<h1>153 Lafayette Street Realty Corp</h1>,(212) 431-9161,
<h1>Residence Real Estate Ltd</h1>,(212) 226-2700,
<h1>Winoker Realty Co</h1>,(212) 925-8608,
<h1>Uhab</h1>,(212) 742-0450,weaver@uhab.org
<h1>Realty Of Usa Inc</h1>,(212) 732-0257,
<h1>Realty Corp</h1>,(212) 966-7880,
<h1>Canal Bridge Realty Inc</h1>,(212) 219-1630,
<h1>Bouklis Group</h1>,(212) 402-7856,tom@bouklisgroup.com
<h1>Soho 54</h1>,(212) 625-1016,
<h1>Grand Development Realty</h1>,(212) 920-8393,
<h1>128-138 Mott St</h1>,(212) 431-3450,
<h1>Global Asia Inc</h1>,(914) 314-3335,globalasiainc@ymail.com
<h1>Beam Development Realty</h1>,(212) 625-9557,
<h1>Great China International Tours</h1>,(212) 233-1000,may@greatchinatours.net
<h1>Leba Realty Co.</h1>,(212) 219-8728,
<h1>Emerson Realty</h1>,(212) 618-1454,
<h1>Grand Realty Co</h1>,(212) 226-0452,wkuhldsign@aol.com
<h1>Pacific Bridge Associates</h1>,(212) 618-1985,
<h1>Alphaneed Realty-Zone Alphaneed</h1>,(212) 732-2988,
<h1>The Summit Group</h1>,(212) 618-1428,
<h1>Village Focus</h1>,(212) 618-1260,
<h1>Jaypee International</h1>,(212) 618-1290,
<h1>Sterling Realty Services</h1>,(212) 618-1590,
<h1>Inprima USA Inc</h1>,(212) 319-8430,
<h1>125 Maiden Equities</h1>,(212) 248-9550,jfrank@timeequities.com
<h1>Atria Properties</h1>,(646) 568-3175,info@atrianyc.com
<h1>2000 Synergon</h1>,(646) 723-5300,
<h1>Time Equities Inc</h1>,(212) 586-0906,
<h1>Oestreicher Properties Inc</h1>,(212) 941-9870,
<h1>United Dominion Realty Trust</h1>,(212) 742-9595,
<h1>Marolda Properties Inc</h1>,(212) 480-1122,
<h1>The Cocoa Exchange</h1>,(212) 344-0208,
<h1>Professional Practice Developers</h1>,(800) 872-3627,
<h1>19 Rector St</h1>,(212) 514-5106,
<h1>Mccrohan Eileen</h1>,(212) 267-7628,
<h1>W L Yee &amp; Co</h1>,(212) 226-0235,info@wlyco.com
<h1>40 Wooster St Realty Corp</h1>,(212) 941-5922,
<h1>Magnum Realty Holdings</h1>,(212) 344-9199,listings@magnumres.com
<h1>Paddington Town Real Estate Paddington Town Real Estate</h1>,(212) 227-2252,
<h1>62-54 Mulberry Street Corp</h1>,(212) 267-4766,
<h1>Yee &amp; Yee Real Estate</h1>,(212) 219-3486,
<h1>476 Broadway Realty Corp</h1>,(212) 226-5592,mrolland@corcoran.com
<h1>Monarch Real Estate</h1>,(212) 863-9795,
<h1>JSBO Realty &amp; Capital Inc</h1>,(212) 996-0303,
"<h1>Williams, Peter A</h1>",(212) 431-5296,
<h1>Williamson Picket Gross Inc</h1>,(212) 267-2820,info@317madisonave.com
<h1>Koll</h1>,(212) 962-5808,
<h1>44 Wall Owner</h1>,(212) 344-7758,
<h1>Multi Capital Group</h1>,(212) 742-0707,Steven@CosmosCapitalGroup.com
<h1>United Realty Capital</h1>,(212) 235-5161,
<h1>Urban America</h1>,(212) 461-7182,
<h1>J Hill Associates</h1>,(212) 619-0163,mathiason@netstep.net
<h1>Goldstein David</h1>,(212) 483-9600,
<h1>Blackstone America Incorporated</h1>,(212) 918-4505,
<h1>Rector Trinity Associates</h1>,(212) 619-5920,
<h1>The Pyne Companies LTD</h1>,(212) 269-4888,carter.byrnes@cbre.com
<h1>Prodigy Networks</h1>,(917) 546-4217,
<h1>Hibernian Holdings</h1>,(212) 729-8607,
<h1>Kamenitzer Real Estate</h1>,(212) 482-1500,edk@edkamenitzerrealestate.com
<h1>Newmark Realty &amp; Co</h1>,(212) 825-0365,
<h1>Jacobs And Prosek</h1>,(646) 365-0193,
<h1>Hong Wah Realty Corp</h1>,(212) 966-4832,Brian@longinesrealty.com
<h1>Town House Real Estate</h1>,(212) 480-8000,
<h1>195 Hudson St Condominium</h1>,(212) 274-9541,
<h1>Time Equities Inc</h1>,(212) 269-0751,
<h1>Levy &amp; Nau P C</h1>,(212) 480-8000,
<h1>40 Exchange Place Corp</h1>,(212) 422-2135,
<h1>Phyl Carol Realty Corp</h1>,(212) 966-0147,
<h1>Asian Inc</h1>,(212) 966-8883,
<h1>Jiang Kai Fu</h1>,(646) 392-4225,
<h1>Norps Ltd</h1>,(212) 267-8848,
<h1>Orient Overseas Associates</h1>,(212) 968-7706,
<h1>Velez Organization</h1>,(212) 684-5500,
<h1>21st Century Propperties Of Nyc Builders Designers &amp; Builders</h1>,(212) 514-5419,
<h1>New York Bay Int'l Ltd</h1>,(212) 908-1180,
<h1>Kg Crowne Corp</h1>,(212) 809-8860,
<h1>General Growth Properties</h1>,(212) 785-0466,
<h1>Penmark Realty</h1>,(212) 361-3700,
<h1>Ascot Properties Inc</h1>,(212) 247-8477,
<h1>Cantor Richard Inc</h1>,(212) 925-3333,
<h1>Park South Realty Co Inc</h1>,(212) 489-2333,
<h1>Hetzler William</h1>,(212) 226-1605,
<h1>Vornado Office Management</h1>,(646) 613-1680,information@vno.com
<h1>54 Green Street Realty Corp</h1>,(212) 925-9873,
<h1>Greenwich Club Residences</h1>,(212) 514-5160,greenwich.hall@nyu.edu
<h1>Urban America Lp</h1>,(212) 612-9100,rmccoy@urbanamericaprincipals3.com
<h1>Fine &amp; Co Wtchmkrs Supls</h1>,(212) 925-4239,klarkush@mindspring.com
<h1>Premier Metro Realty</h1>,(212) 660-2211,
<h1>Heng Sang Realty Corp</h1>,(212) 966-3777,mfung150@aol.com
<h1>Square Square</h1>,(646) 452-5612,
<h1>Anderson Associates</h1>,(213) 608-0855,info@morrisanderson.com
<h1>CB Richard Ellis</h1>,(212) 248-2813,investorrelations@cbre.com
<h1>Tower Realty Management Corp</h1>,(646) 826-2155,
<h1>Zamir Equities</h1>,(212) 363-5093,
<h1>Collect Pond House Inc</h1>,(212) 227-8293,
<h1>Kennedy-Wilson</h1>,(212) 248-4026,
<h1>Nyc I School</h1>,(212) 226-2700,
<h1>Ibc-Pm Inc</h1>,(212) 343-2360,
<h1>Veracity</h1>,(212) 966-6868,webmaster@veracityrem.com
<h1>Jud Capital Inc</h1>,(212) 273-9600,
<h1>Valtech</h1>,(212) 755-3368,richo.strydom@valtech.co.uk
<h1>Cushman &amp; Wakefield</h1>,(212) 709-0700,benny_qosja@cushwake.com
<h1>Adams &amp; Adams</h1>,(212) 966-2712,
<h1>Be Real Company</h1>,(212) 925-3360,
<h1>Icy Realty Corp</h1>,(212) 233-3828,
<h1>Trinity Church Real Estate</h1>,(212) 966-1719,kjoseph@trinitywallstreet.org
<h1>L B 59 Realty Co</h1>,(212) 925-2215,
<h1>Broadway Manhattan Technology Corp</h1>,(212) 514-5441,melitza.martinez@cbre.com
<h1>Eav Realty</h1>,(212) 344-8401,
<h1>Moinian Group</h1>,(646) 414-0125,
<h1>Royal Realty</h1>,(646) 237-4600,
<h1>Beaver Equities Corp</h1>,(212) 344-1513,
<h1>R H S Ventures</h1>,(212) 584-9170,
<h1>Jrp</h1>,(212) 509-9409,
<h1>Thomas Fletcher &amp; Co</h1>,(212) 680-7405,
<h1>D R M S Assocs</h1>,(212) 943-4080,
<h1>Rainbow New York</h1>,(212) 269-3800,
<h1>Information Markets Corp</h1>,(212) 509-1492,
<h1>Downtown Turn Key Office Suites</h1>,(212) 509-0585,
<h1>High Rises</h1>,(347) 450-5769,
<h1>Mjci Realty of CA Inc</h1>,(212) 859-5004,
<h1>William Hahn Charles Magistro</h1>,(212) 966-3799,
<h1>Croften Properties</h1>,(855) 973-3603,
<h1>My Realty Inc</h1>,(212) 226-9688,
<h1>Schiffman David</h1>,(212) 925-9786,
<h1>57-63 Greene Street Condominium</h1>,(212) 941-0907,
<h1>Lovesjesus410 Realty</h1>,(929) 337-4599,
<h1>Essential Element</h1>,(877) 987-0999,ee@theeeellc.com
<h1>Concept Nyc Realty</h1>,(718) 404-8833,
<h1>Solofts</h1>,(212) 937-0077,
<h1>68-74 Thompson Realty</h1>,(212) 966-0194,
<h1>Jack Parker Corp</h1>,(212) 842-2784,bwwebmaster@businessweek.com
<h1>The Beekman Estate</h1>,(212) 344-3557,
<h1>Tong Fat Realty Corp</h1>,(212) 431-1233,Jay1026@hotmail.com
<h1>Workspace Inc</h1>,(212) 925-3952,
<h1>Malka Realty Corp</h1>,(212) 219-1151,info@nystorefixture.com
<h1>Batmimpea Inc</h1>,(212) 869-1490,sirhr@aol.com
<h1>Bayard House Condominium</h1>,(646) 613-1844,
<h1>Broadway 26 Waterview</h1>,(212) 344-2151,artmedia@bincode.com
<h1>Goldman Morris Real Estate</h1>,(212) 219-2648,
<h1>Propellor Realty</h1>,(212) 226-9762,
<h1>Luxury Manhattan Property</h1>,(212) 590-0545,
<h1>Constitution Realty</h1>,(212) 344-2150,
<h1>Real Estate</h1>,(212) 925-2025,
<h1>Cushman &amp; Wakefield</h1>,(212) 422-7277,web@www.cushmanwakefield.com
<h1>Proplink Inc</h1>,(212) 219-3828,
<h1>Jones Lang La Salle</h1>,(212) 248-0356,
<h1>Empire Realty Services</h1>,(917) 724-2382,contact@empirersllc.com
<h1>Ny Cosmos</h1>,(212) 343-3190,help@nycosmosshop.com
<h1>Ponte Equities Inc</h1>,(212) 274-8224,
<h1>First Mott</h1>,(212) 219-0349,
<h1>Yuet Ho Realty Corp</h1>,(212) 219-8981,
<h1>Ecosys Management</h1>,(212) 425-0500,
<h1>New York State Insurance Dept</h1>,(212) 480-6400,
<h1>55 Orchard Street</h1>,(212) 226-5335,
<h1>547 Broadway Realty</h1>,(212) 925-2481,
<h1>Latent Productions</h1>,(646) 336-9696,latent@latentnyc.com
<h1>Gutierrez Cesar</h1>,(646) 861-3863,
<h1>M Klein Realty &amp; Mgmt Corp</h1>,(212) 431-6345,
<h1>Cogent Realty Advisors Inc</h1>,(212) 509-4049,
<h1>Gild Property Group</h1>,(646) 964-5756,
<h1>Spre Realty Ltd</h1>,(212) 343-1909,sales@alliedbrass.com
<h1>Ponte Equities Inc</h1>,(212) 966-2625,
<h1>Mb Real Estate Services Lls</h1>,(212) 809-7777,careers.international@willis.com
<h1>Fsf Realty</h1>,(212) 361-0096,
<h1>Noh Realty Corp</h1>,(212) 219-2972,
<h1>SL Green Realty Corp</h1>,(646) 613-8726,
<h1>Aristocrat Management Inc</h1>,(212) 529-6830,
<h1>New York Next LCC</h1>,(917) 934-3484,contact@newyorknext.com
<h1>Newmark &amp; Company Real Estate Inc</h1>,(646) 826-5660,
<h1>Cbre Ny209 Ny209</h1>,(212) 284-8000,
<h1>Soho Properties Licensed Real</h1>,(212) 966-9600,
<h1>WW Realty</h1>,(212) 462-1035,
<h1>Rose Associates</h1>,(212) 600-1588,eprohens@internetadvtg.com
<h1>Cb Richard Ellis</h1>,(212) 797-9840,
<h1>Alan Tam Real Estate Broker</h1>,(212) 966-9858,
<h1>Beaver St Realty</h1>,(212) 785-5570,
<h1>Realty Advisors New World</h1>,(646) 723-4700,
<h1>Donald C Judd Estate</h1>,(212) 219-2747,
<h1>Big Greene Eagle</h1>,(212) 334-5342,
<h1>Mocal Realty</h1>,(212) 683-4444,
<h1>Oscar Z Ianello Associates Inc</h1>,(212) 966-0070,
<h1>Cipriani 25 Broadway</h1>,(212) 785-7365,log@ballyfitness.com
<h1>Design And Acquistions</h1>,(212) 334-2170,
<h1>The Soho Building</h1>,(212) 226-3100,christineh@goldmanproperties.com
<h1>Tnv Partners</h1>,(212) 219-8977,
<h1>S K Development Group Inc</h1>,(212) 741-7106,
<h1>Milstein Properties</h1>,(646) 822-9620,
<h1>110 Soho Corp</h1>,(212) 431-6064,
<h1>Broad Plaza</h1>,(212) 422-2454,
<h1>Bowery Square Corp</h1>,(212) 226-7369,rockout@theboweryelectric.com
<h1>419-421 Broadway Realty Corp</h1>,(212) 941-0676,
<h1>530 Canal St Realty Corp</h1>,(212) 925-2098,
<h1>Real Estate Resource Group</h1>,(212) 625-9650,
<h1>Ring F M Assoc Inc</h1>,(212) 691-4909,
<h1>Calliope Associates</h1>,(212) 925-9492,sales@wooster-products.com
<h1>Kingstone Realty Ny Inc</h1>,(212) 941-5009,
<h1>Praxis Housing Initiatives Inc</h1>,(212) 293-8404,info@praxishousing.org
<h1>Chemarine Inc</h1>,(212) 344-2450,
<h1>206 Spring</h1>,(212) 966-0323,
<h1>Loft Industries Inc</h1>,(212) 414-9424,
<h1>Industry Nine Five</h1>,(212) 242-1245,
<h1>Wooster 100 Realty</h1>,(212) 966-3894,
<h1>Medina Jose A</h1>,(212) 966-0972,
<h1>Greene St Properties</h1>,(212) 226-6950,
<h1>Criag Marine &amp; Aviation Inc</h1>,(212) 837-7823,
<h1>Creative Commerce Porperties</h1>,(212) 625-1700,info@creativecommerce.com
<h1>RP Real Estate Solutions</h1>,(212) 837-7965,
<h1>482 Greenwich</h1>,(212) 966-4131,ben@88greenwich.com
<h1>Schack Realty Co Inc</h1>,(212) 966-9090,lschack@columbiaequities.com
<h1>65 Spring Realty</h1>,(212) 219-3606,
<h1>Titan Realty Nyc</h1>,(212) 966-2467,
<h1>David Kooy Investments</h1>,(212) 566-0800,
<h1>Cldn Ny</h1>,(212) 966-6871,scalenewyork@gmail.com
<h1>Common Ground Andrews</h1>,(212) 674-4938,
<h1>Reserve Realty</h1>,(212) 785-1100,
<h1>Delphi Real Estate Advisors</h1>,(212) 528-1400,
<h1>Salon Realty Corp</h1>,(212) 226-1064,
<h1>Mirchandani Real Estate</h1>,(212) 222-2239,
<h1>Nest Seekers</h1>,(310) 278-8861,
<h1>Amsland Partnersh</h1>,(212) 966-2167,
<h1>Cushman &amp; Wakefield Inc</h1>,(212) 425-1058,
<h1>Van-Hun Realty Co</h1>,(212) 929-5882,
<h1>Asb 72-76 Greene Stree</h1>,(212) 966-3810,
<h1>Well Sixty Broad Street</h1>,(646) 998-7042,
<h1>Page Managmnt Co Inc</h1>,(212) 219-3990,rentals@pageapartments.com
<h1>Broad Prince Realty</h1>,(212) 334-5589,
<h1>Grubb &amp; Ellis Commercial Real Estate Services</h1>,(212) 812-8600,
<h1>Epic-cr</h1>,(212) 682-7878,
<h1>27 Whitehall St Group</h1>,(212) 509-3599,
<h1>New York Shun On Realty Development Inc</h1>,(212) 473-3835,
<h1>Milgrim Trust</h1>,(212) 228-4174,
<h1>D &amp; D Realty</h1>,(212) 255-6323,
<h1>Grand Success Realty</h1>,(212) 353-9375,
<h1>Allen Orchard</h1>,(212) 228-8322,
<h1>Tck</h1>,(212) 343-4293,
<h1>Sellers Realty Group</h1>,(212) 482-0000,
<h1>Rxr Realty</h1>,(212) 797-1010,info@212realty.net
<h1>Grenadier Realty Corp</h1>,(212) 964-0879,
<h1>110 Realty Equities</h1>,(212) 334-3154,
<h1>Dartmouth Co</h1>,(212) 687-2400,
<h1>Isaacs &amp; Co</h1>,(212) 966-5500,info@isaacsandcompany.com
<h1>Q Properties</h1>,(800) 326-7051,
<h1>Forward Building</h1>,(212) 254-2363,
<h1>West 8 New York Inc</h1>,(212) 206-1099,
<h1>Madison Development</h1>,(212) 966-6109,
<h1>Fbe Limited</h1>,(212) 425-0193,
<h1>Officine Creative</h1>,(646) 649-5142,
<h1>Fig Capital</h1>,(212) 938-3600,
<h1>Cargo Ventures</h1>,(212) 248-3111,
<h1>Allied Partners</h1>,(212) 219-0688,newyork@publicallies.org
<h1>Scotti Graphics Inc</h1>,(212) 691-6644,
<h1>Digital Realty Trust</h1>,(212) 480-9049,
<h1>Urban Marketing Realty</h1>,(212) 635-5555,
<h1>Annapurna Real Estate Corp</h1>,(212) 226-7517,
<h1>Newmark &amp; Co</h1>,(212) 431-9353,Michael@groupcsi.com
<h1>Hanja Siim</h1>,(212) 777-0090,
<h1>Patriot Usa</h1>,(212) 751-1001,
<h1>Village and Soho Realty</h1>,(212) 228-4556,
<h1>Cushman And Wakefield Inc</h1>,(212) 363-5790,
<h1>Common Space</h1>,(212) 777-6300,
<h1>457-461 Loft Spaces Inc</h1>,(212) 614-9980,
<h1>Trizechahn</h1>,(212) 483-0771,
<h1>Grenadier Realty Corp</h1>,(212) 267-3296,
<h1>Unico</h1>,(212) 837-2504,
<h1>Rinel Realty-Ec Realty Holdings</h1>,(212) 260-7208,
<h1>Soho King Group</h1>,(212) 627-7383,
<h1>The Dermot Group</h1>,(212) 943-6297,
<h1>Clarke A J</h1>,(212) 675-3066,
<h1>2 King St Apartments Corp</h1>,(212) 255-4357,
<h1>185 Varick Realty Corp</h1>,(212) 675-5700,
<h1>Trinity Real Estate Trinity Real Estate</h1>,(212) 602-0860,jason.guberman@trinityprods.com
<h1>Chu &amp; Lee Realty Chu &amp; Lee Realty</h1>,(212) 349-2997,
<h1>Ua</h1>,(212) 941-9500,
<h1>Noho Strategic Ventur</h1>,(212) 260-7208,
<h1>Olmstead Properties</h1>,(212) 740-3831,
<h1>Prudential Real Estate</h1>,(212) 460-0655,
<h1>Dumann</h1>,(212) 505-6300,
<h1>Arbatax Properties</h1>,(212) 627-9237,
<h1>180 Varick Street</h1>,(212) 741-3831,
<h1>Baby Grand Realty Inc</h1>,(212) 204-8776,
<h1>M D Carlisle Realty Corp</h1>,(212) 529-2254,
<h1>Rose-Ann</h1>,(212) 334-3157,
<h1>Reality Productions Ny</h1>,(212) 625-3488,
<h1>55 Houston Realty</h1>,(212) 431-4890,
<h1>Extel Varick</h1>,(212) 414-9069,
<h1>Seward Park Housing</h1>,(212) 260-3198,
<h1>Wilder Realty</h1>,(646) 398-9811,
<h1>62 Rivington Homeowners Assoication Inc</h1>,(212) 780-0603,
<h1>Yung DNT</h1>,(212) 226-2985,
<h1>Morolda Properties</h1>,(212) 965-0277,
<h1>Septober Realty</h1>,(212) 206-7586,
<h1>Metropolitan Homes Real Estate Group</h1>,(347) 801-2700,
<h1>Hf Hewitt Realty</h1>,(212) 995-9203,hfhewittrealty@aol.com
<h1>Tom Ennis Associates Inc</h1>,(212) 460-5833,
<h1>One Six Eight Ludlow Real Estate Corporation</h1>,(646) 657-0730,
<h1>Rubberband International</h1>,(212) 677-8603,
<h1>Goldman Properties</h1>,(212) 358-1600,
<h1>Green City Realty Inc</h1>,(212) 388-0481,
<h1>Landmark Real Estate Management Inc</h1>,(212) 387-8877,
<h1>Renaissance Developers</h1>,(212) 529-0598,
<h1>H B First New Amsterdam Corp</h1>,(212) 677-1160,
<h1>Quincy PLUS Real Estate Group</h1>,(347) 831-8072,
<h1>Bremen House Inc</h1>,(212) 533-3294,
<h1>Shulsky E</h1>,(212) 677-8784,
<h1>Tishman Speyer</h1>,(212) 337-3150,gurgaon@tishmanspeyer.com
<h1>Performing Real Estate Strategies</h1>,(212) 460-8780,
<h1>136 Ludlow Realty Co</h1>,(212) 260-4141,
<h1>Winhaven Mgmt Svcs</h1>,(212) 533-0308,
<h1>Heller Realty</h1>,(212) 260-7590,
<h1>Silver Towers</h1>,(212) 677-4508,admissions.ops@nyu.edu
<h1>636 Broadway Associates</h1>,(212) 254-7701,
<h1>Bold New York</h1>,(212) 777-7864,connect@boldnewyork.com
<h1>Grenadier Realty Corp</h1>,(212) 964-0332,
<h1>DSLM Associates Inc</h1>,(646) 998-3456,
<h1>Orangy Cordero</h1>,(212) 979-1387,
<h1>Y And H Realty</h1>,(212) 477-5485,
<h1>Clinton Towers Apartment Corp</h1>,(718) 596-3430,
<h1>Bill Gray Associates</h1>,(212) 570-2518,
<h1>Goldman Properties</h1>,(646) 892-3958,
<h1>Vista Realty Enterprises Corpo</h1>,(212) 777-2413,
<h1>U S Girlz Entertainment Group</h1>,(212) 613-1680,
<h1>Residence Diplomat Inc</h1>,(212) 371-6029,
<h1>49 Clinton Properties</h1>,(212) 353-2609,
<h1>Pine Management Inc</h1>,(212) 222-0678,info@pinemanagement.com
<h1>Helgar Realty Co</h1>,(212) 254-5980,
<h1>Manhattan Ny 10014 110 Leroy</h1>,(212) 463-8038,
<h1>Realogy Corporation</h1>,(212) 982-8136,
<h1>Belvedere Capital</h1>,(212) 675-0421,
<h1>Realty J &amp; A</h1>,(212) 645-0105,
<h1>B R J Enterprises Inc</h1>,(212) 228-4127,
<h1>Waverly Apartment Services Inc</h1>,(212) 929-5552,inquire@waverlyrealtyassociates.com
<h1>Great Jones Studio Inc</h1>,(212) 228-6423,
<h1>Great Jones Fitness</h1>,(646) 707-3249,
<h1>Rivington Realty</h1>,(212) 420-1827,
<h1>Jordan Realty</h1>,(212) 358-7017,
